YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M,WD10M
2019,5,4,18,13.41,93.06,0.11,2.55,128.77
2019,5,4,19,12.91,94.81,0.1,2.5,129.3
2019,5,4,20,12.47,95.94,0.09,2.26,127.98
2019,5,4,21,12.04,96.5,0.08,2.3,129.36
2019,5,4,22,11.7,96.31,0.09,1.88,133.65
2019,5,4,23,11.4,96.38,0.08,1.65,137.31
2019,5,5,0,11.11,96.06,0.06,1.56,137.23
2019,5,5,1,10.82,95.56,0.04,1.54,136.24
2019,5,5,2,10.65,94.94,0.03,1.71,128.13
2019,5,5,3,10.46,94.0,0.02,1.92,124.21
2019,5,5,4,10.28,93.88,0.02,2.18,122.72
2019,5,5,5,10.16,94.12,0.02,2.37,122.49
2019,5,5,6,10.59,94.25,0.03,2.57,123.84
2019,5,5,7,12.22,88.94,0.11,3.84,119.33
2019,5,5,8,13.88,83.38,0.17,5.04,116.6
2019,5,5,9,15.45,75.81,0.24,6.56,114.7
2019,5,5,10,16.44,70.81,0.34,7.39,115.43
2019,5,5,11,16.83,68.5,0.4,7.72,117.55
2019,5,5,12,16.94,67.75,0.42,7.69,120.32
2019,5,5,13,17.08,67.38,0.39,7.49,122.43
2019,5,5,14,17.03,68.06,0.36,7.15,123.81
2019,5,5,15,16.64,70.12,0.35,6.65,124.51
2019,5,5,16,15.91,73.69,0.34,6.03,124.55
2019,5,5,17,14.61,82.44,0.28,4.79,126.57
2019,5,5,18,12.94,93.88,0.22,3.41,129.42
2019,5,5,19,12.31,96.0,0.15,3.24,132.16
2019,5,5,20,12.0,96.94,0.11,3.17,131.6
2019,5,5,21,11.71,96.56,0.1,3.39,129.38
2019,5,5,22,11.26,96.5,0.11,3.37,128.31
2019,5,5,23,10.95,96.31,0.1,3.4,129.97
2019,5,6,0,10.73,96.19,0.1,3.39,133.32
2019,5,6,1,10.63,96.12,0.13,3.34,136.14
2019,5,6,2,10.69,95.94,0.18,3.41,135.84
2019,5,6,3,10.72,95.56,0.21,3.37,135.56
2019,5,6,4,10.76,95.0,0.19,3.18,134.7
2019,5,6,5,10.81,94.75,0.16,2.9,132.6
2019,5,6,6,11.01,95.62,0.14,2.99,129.59
2019,5,6,7,12.16,93.06,0.01,3.6,126.35
2019,5,6,8,13.37,87.31,0.01,4.43,123.27
2019,5,6,9,15.01,78.94,0.01,5.32,121.54
2019,5,6,10,16.66,70.75,0.01,6.28,121.06
2019,5,6,11,17.59,66.25,0.01,6.91,122.16
2019,5,6,12,17.93,64.81,0.02,7.05,123.25
2019,5,6,13,17.9,64.88,0.02,6.79,123.74
2019,5,6,14,17.69,65.5,0.03,6.33,123.32
2019,5,6,15,17.12,67.5,0.03,5.78,122.98
2019,5,6,16,16.05,71.69,0.03,5.12,123.74
2019,5,6,17,14.6,80.19,0.03,4.14,127.56
2019,5,6,18,12.91,93.44,0.02,2.99,132.03
2019,5,6,19,12.26,95.38,0.01,2.88,135.44
2019,5,6,20,11.69,95.38,0.01,2.82,134.22
2019,5,6,21,11.23,94.38,0.01,2.86,132.9
2019,5,6,22,10.87,93.19,0.01,2.87,131.8
2019,5,6,23,10.51,93.75,0.01,2.61,133.06
2019,5,7,0,10.19,94.25,0.01,2.43,134.09
2019,5,7,1,9.97,94.31,0.01,2.29,136.11
2019,5,7,2,9.86,94.25,0.02,2.15,139.13
2019,5,7,3,9.71,94.38,0.02,2.0,140.71
2019,5,7,4,9.57,94.12,0.02,2.05,137.62
2019,5,7,5,9.65,93.12,0.02,2.45,131.12
2019,5,7,6,10.35,91.81,0.01,2.83,128.96
2019,5,7,7,12.26,84.94,0.02,3.91,125.15
2019,5,7,8,14.13,77.94,0.02,4.88,121.66
2019,5,7,9,15.75,71.06,0.02,5.37,119.62
2019,5,7,10,16.9,67.31,0.03,5.5,119.44
2019,5,7,11,17.56,65.44,0.04,5.51,120.78
2019,5,7,12,17.88,64.81,0.04,5.48,122.9
2019,5,7,13,17.98,64.69,0.04,5.32,124.04
2019,5,7,14,17.76,65.5,0.04,4.88,123.44
2019,5,7,15,17.44,66.94,0.04,4.19,121.82
2019,5,7,16,16.64,70.56,0.04,3.37,119.78
2019,5,7,17,15.27,79.06,0.05,2.24,119.52
2019,5,7,18,13.4,92.06,0.06,0.94,115.07
2019,5,7,19,12.67,95.69,0.06,0.96,118.65
2019,5,7,20,12.19,97.44,0.06,1.18,120.12
2019,5,7,21,11.83,98.0,0.06,1.32,124.16
2019,5,7,22,11.46,97.81,0.08,1.45,129.96
2019,5,7,23,11.15,97.12,0.09,1.56,134.19
2019,5,8,0,10.98,96.38,0.09,1.59,137.78
2019,5,8,1,10.82,95.94,0.09,1.61,140.91
2019,5,8,2,10.73,95.75,0.08,1.62,141.64
2019,5,8,3,10.66,95.31,0.07,1.59,141.16
2019,5,8,4,10.51,95.56,0.06,1.69,139.69
2019,5,8,5,10.35,95.81,0.05,2.05,142.43
2019,5,8,6,10.83,95.62,0.05,2.75,145.9
2019,5,8,7,12.39,89.38,0.02,4.02,144.42
2019,5,8,8,13.74,81.06,0.02,4.96,145.33
2019,5,8,9,15.05,72.75,0.02,5.49,147.55
2019,5,8,10,16.03,67.88,0.02,5.51,148.67
2019,5,8,11,16.62,65.0,0.02,5.22,148.79
2019,5,8,12,16.87,63.94,0.02,4.89,148.27
2019,5,8,13,16.92,64.06,0.03,4.53,147.82
2019,5,8,14,16.69,65.44,0.03,4.21,146.9
2019,5,8,15,16.27,67.56,0.03,3.65,145.29
2019,5,8,16,15.54,71.25,0.02,2.9,144.77
2019,5,8,17,14.41,77.94,0.02,2.01,145.45
2019,5,8,18,12.97,87.69,0.01,0.86,150.64
2019,5,8,19,12.15,90.94,0.01,0.81,151.21
2019,5,8,20,11.44,93.44,0.0,1.04,148.82
2019,5,8,21,10.9,94.62,0.0,1.32,150.55
2019,5,8,22,10.44,94.75,0.0,1.56,151.5
2019,5,8,23,9.99,94.88,0.0,1.7,151.66
2019,5,9,0,9.62,94.75,0.0,1.72,153.55
2019,5,9,1,9.36,94.31,0.0,1.7,155.8
2019,5,9,2,9.19,93.69,0.0,1.66,159.6
2019,5,9,3,9.09,92.75,0.0,1.62,163.22
2019,5,9,4,9.1,91.56,0.0,1.56,165.48
2019,5,9,5,9.14,90.69,0.0,1.51,165.89
2019,5,9,6,9.85,90.62,0.0,1.44,165.51
2019,5,9,7,12.23,80.5,0.02,2.09,157.64
2019,5,9,8,14.35,73.62,0.03,2.45,146.56
2019,5,9,9,16.03,68.31,0.05,2.69,138.06
2019,5,9,10,17.32,65.19,0.08,3.05,132.19
2019,5,9,11,17.74,64.69,0.11,3.22,129.18
2019,5,9,12,17.82,65.62,0.13,3.1,127.22
2019,5,9,13,17.49,68.12,0.15,2.69,125.54
2019,5,9,14,17.0,71.31,0.16,2.24,122.03
2019,5,9,15,16.35,74.94,0.16,1.93,116.98
2019,5,9,16,15.51,79.25,0.16,1.77,113.96
2019,5,9,17,14.37,85.69,0.14,1.49,112.53
2019,5,9,18,12.77,95.56,0.11,0.81,111.39
2019,5,9,19,12.15,98.56,0.08,0.9,123.27
2019,5,9,20,11.79,99.19,0.06,0.93,130.24
2019,5,9,21,11.51,99.06,0.05,0.84,139.51
2019,5,9,22,11.27,98.12,0.04,0.76,153.7
2019,5,9,23,10.99,97.5,0.03,0.77,164.13
2019,5,10,0,10.77,96.31,0.03,0.89,172.44
2019,5,10,1,10.6,95.19,0.03,0.96,183.72
2019,5,10,2,10.39,94.62,0.03,0.93,192.16
2019,5,10,3,10.31,93.62,0.03,0.85,195.44
2019,5,10,4,10.29,92.5,0.02,0.74,186.67
2019,5,10,5,10.21,91.62,0.02,0.68,163.43
2019,5,10,6,10.61,91.12,0.02,0.85,143.97
2019,5,10,7,12.52,86.06,0.0,1.6,127.04
2019,5,10,8,14.34,79.06,0.0,2.37,118.17
2019,5,10,9,16.15,70.44,0.0,2.81,115.92
2019,5,10,10,17.57,65.56,0.0,3.03,112.79
2019,5,10,11,18.19,64.19,0.0,3.08,111.61
2019,5,10,12,18.37,64.75,0.0,2.94,112.48
2019,5,10,13,18.15,66.38,0.0,2.7,112.42
2019,5,10,14,17.6,68.81,0.0,2.51,110.58
2019,5,10,15,17.0,71.38,0.0,2.3,109.85
2019,5,10,16,16.26,74.31,0.0,2.18,114.17
2019,5,10,17,15.15,79.69,0.0,1.76,118.96
2019,5,10,18,13.1,92.75,0.0,0.97,124.46
2019,5,10,19,12.2,96.12,0.0,0.97,132.06
2019,5,10,20,11.63,98.19,0.0,0.91,139.18
2019,5,10,21,11.24,97.75,0.0,0.86,146.89
2019,5,10,22,10.77,96.38,0.0,0.89,159.97
2019,5,10,23,10.33,95.38,0.0,0.96,175.82
2019,5,11,0,9.97,94.25,0.0,1.08,187.49
2019,5,11,1,9.62,93.12,0.0,1.17,196.74
2019,5,11,2,9.46,90.56,0.0,1.22,202.14
2019,5,11,3,9.39,87.88,0.0,1.17,201.23
2019,5,11,4,9.56,84.12,0.0,1.02,177.81
2019,5,11,5,9.58,81.12,0.0,1.25,142.13
2019,5,11,6,9.87,82.0,0.0,1.41,129.85
2019,5,11,7,12.8,71.56,0.1,2.05,118.23
2019,5,11,8,15.0,69.38,0.09,3.01,103.5
2019,5,11,9,16.59,66.25,0.08,3.55,100.77
2019,5,11,10,17.97,63.94,0.08,3.65,99.0
2019,5,11,11,18.76,63.0,0.08,3.55,98.47
2019,5,11,12,18.98,63.19,0.09,3.38,99.31
2019,5,11,13,18.67,64.62,0.1,3.17,99.79
2019,5,11,14,18.12,67.19,0.1,2.83,98.26
2019,5,11,15,17.34,71.06,0.12,2.46,95.47
2019,5,11,16,16.5,75.44,0.12,2.1,94.48
2019,5,11,17,15.15,83.69,0.12,1.44,94.35
2019,5,11,18,13.35,96.19,0.14,0.76,104.89
2019,5,11,19,12.91,98.44,0.11,0.92,115.25
2019,5,11,20,12.68,98.38,0.08,1.07,118.44
2019,5,11,21,12.36,97.75,0.09,1.19,120.77
2019,5,11,22,11.96,97.25,0.08,1.14,125.22
2019,5,11,23,11.48,96.94,0.11,1.03,131.63
2019,5,12,0,11.08,95.94,0.15,1.03,140.53
2019,5,12,1,10.65,94.69,0.18,1.16,147.91
2019,5,12,2,10.26,93.38,0.17,1.38,151.26
2019,5,12,3,9.97,92.88,0.15,1.56,151.25
2019,5,12,4,9.79,92.88,0.16,1.64,150.26
2019,5,12,5,9.73,92.5,0.18,1.65,150.15
2019,5,12,6,10.48,93.0,0.22,1.5,150.63
2019,5,12,7,12.23,88.94,0.18,2.05,145.89
2019,5,12,8,13.71,84.38,0.19,2.29,128.35
2019,5,12,9,14.69,81.19,0.19,2.61,118.02
2019,5,12,10,15.49,79.06,0.22,2.78,116.93
2019,5,12,11,16.15,77.0,0.26,2.9,116.77
2019,5,12,12,16.65,75.25,0.32,3.02,115.9
2019,5,12,13,16.87,74.62,0.4,3.14,114.53
2019,5,12,14,16.6,76.25,0.47,2.97,113.26
2019,5,12,15,15.92,80.06,0.48,2.7,115.16
2019,5,12,16,15.01,85.0,0.42,2.5,120.66
2019,5,12,17,14.1,90.75,0.34,2.23,129.32
2019,5,12,18,13.26,96.44,0.25,1.96,136.94
2019,5,12,19,12.73,96.94,0.17,2.13,142.58
2019,5,12,20,12.18,96.56,0.11,2.28,146.75
2019,5,12,21,11.73,96.31,0.07,2.29,145.01
2019,5,12,22,11.48,96.25,0.06,2.01,142.42
2019,5,12,23,11.3,96.38,0.05,1.76,138.6
2019,5,13,0,11.09,96.75,0.05,1.5,135.21
2019,5,13,1,10.95,96.81,0.04,1.47,131.13
2019,5,13,2,10.83,96.5,0.04,1.56,128.48
2019,5,13,3,10.65,95.94,0.04,1.7,127.92
2019,5,13,4,10.58,95.56,0.03,1.84,126.87
2019,5,13,5,10.43,95.5,0.01,1.81,124.79
2019,5,13,6,10.91,95.19,0.01,1.98,120.61
2019,5,13,7,12.87,89.88,0.09,3.1,108.85
2019,5,13,8,14.57,84.31,0.15,4.59,91.07
2019,5,13,9,16.05,77.62,0.31,5.49,85.18
2019,5,13,10,17.12,73.25,0.48,6.01,85.97
2019,5,13,11,17.55,71.25,0.86,6.02,90.15
2019,5,13,12,17.76,70.94,1.49,5.81,95.56
2019,5,13,13,17.54,72.19,1.88,5.43,99.69
2019,5,13,14,17.01,74.5,1.74,5.08,102.16
2019,5,13,15,16.21,77.88,1.06,4.78,104.2
2019,5,13,16,15.3,82.38,0.55,4.33,107.65
2019,5,13,17,14.28,88.81,0.41,3.36,113.58
2019,5,13,18,13.17,95.44,0.36,2.61,120.4
2019,5,13,19,12.59,96.69,0.37,2.76,122.3
2019,5,13,20,12.15,96.88,0.38,2.63,126.05
2019,5,13,21,11.77,96.69,0.37,2.65,128.42
2019,5,13,22,11.51,96.38,0.33,2.72,129.41
2019,5,13,23,11.3,96.38,0.33,2.64,131.76
2019,5,14,0,11.09,96.31,0.32,2.5,135.13
2019,5,14,1,10.87,96.19,0.3,2.43,136.56
2019,5,14,2,10.62,95.94,0.33,2.36,134.33
2019,5,14,3,10.47,95.56,0.32,2.11,132.3
2019,5,14,4,10.31,95.44,0.41,2.0,125.8
2019,5,14,5,10.16,95.25,0.41,2.14,120.03
2019,5,14,6,10.37,95.44,0.45,2.38,119.26
2019,5,14,7,11.67,91.0,0.66,3.29,116.38
2019,5,14,8,13.12,86.38,0.51,4.09,112.0
2019,5,14,9,14.71,81.56,0.39,5.14,110.83
2019,5,14,10,15.91,76.38,0.34,6.14,117.35
2019,5,14,11,16.48,72.94,0.35,6.29,122.43
2019,5,14,12,16.5,71.5,0.35,5.98,124.19
2019,5,14,13,16.15,71.62,0.38,5.73,125.29
2019,5,14,14,15.63,72.94,0.4,5.37,126.3
2019,5,14,15,14.94,75.19,0.38,4.9,127.87
2019,5,14,16,14.13,78.31,0.36,4.28,129.22
2019,5,14,17,13.06,84.56,0.32,3.37,131.9
2019,5,14,18,11.7,93.88,0.28,2.37,133.39
2019,5,14,19,11.08,93.81,0.27,2.47,135.9
2019,5,14,20,10.61,92.75,0.24,3.03,138.13
2019,5,14,21,10.19,92.69,0.22,3.48,141.56
2019,5,14,22,9.92,93.19,0.17,3.57,142.65
2019,5,14,23,9.8,93.81,0.12,3.49,144.21
2019,5,15,0,9.7,94.0,0.1,3.57,144.08
2019,5,15,1,9.51,94.06,0.13,3.25,147.15
2019,5,15,2,9.4,94.25,0.22,3.03,149.67
2019,5,15,3,9.35,94.44,0.39,2.88,149.75
2019,5,15,4,9.37,94.62,0.56,2.92,149.04
2019,5,15,5,9.44,94.75,0.59,3.0,147.22
2019,5,15,6,10.02,94.44,0.47,3.53,146.84
2019,5,15,7,11.64,89.38,0.01,4.07,142.4
2019,5,15,8,13.25,82.94,0.01,4.94,137.82
2019,5,15,9,14.79,76.12,0.01,5.83,134.24
2019,5,15,10,15.97,70.81,0.01,6.63,131.9
2019,5,15,11,16.65,67.0,0.01,7.07,130.79
2019,5,15,12,16.98,65.06,0.01,6.88,130.4
2019,5,15,13,17.09,64.44,0.01,6.34,130.3
2019,5,15,14,16.93,65.06,0.01,5.69,130.77
2019,5,15,15,16.51,66.94,0.02,5.07,132.25
2019,5,15,16,15.67,71.0,0.02,4.6,133.76
2019,5,15,17,14.3,79.62,0.02,3.78,134.5
2019,5,15,18,12.76,90.94,0.02,2.53,133.87
2019,5,15,19,12.05,94.06,0.02,2.08,134.7
2019,5,15,20,11.56,96.12,0.02,2.13,136.93
2019,5,15,21,11.26,97.31,0.01,2.72,140.36
2019,5,15,22,10.96,98.0,0.01,2.95,143.4
2019,5,15,23,10.71,98.31,0.01,3.23,146.54
2019,5,16,0,10.5,98.06,0.0,3.42,149.57
2019,5,16,1,10.3,97.81,0.0,3.46,151.3
2019,5,16,2,10.05,97.88,0.0,3.4,152.02
2019,5,16,3,9.86,97.88,0.01,3.26,150.92
2019,5,16,4,9.73,97.69,0.01,3.0,149.16
2019,5,16,5,9.62,97.5,0.01,2.76,147.48
2019,5,16,6,10.13,96.25,0.01,2.8,147.77
2019,5,16,7,12.12,88.25,0.0,3.5,146.1
2019,5,16,8,14.01,80.12,0.0,4.36,146.54
2019,5,16,9,15.94,71.0,0.0,4.96,143.65
2019,5,16,10,17.22,66.06,0.0,5.17,140.64
2019,5,16,11,18.35,62.94,0.0,5.03,138.34
2019,5,16,12,18.84,62.12,0.0,4.54,135.98
2019,5,16,13,18.89,62.25,0.0,3.85,132.86
2019,5,16,14,18.51,64.12,0.0,3.2,130.25
2019,5,16,15,17.68,67.69,0.0,2.74,128.99
2019,5,16,16,16.74,71.75,0.0,2.47,128.57
2019,5,16,17,15.33,79.25,0.0,2.08,125.54
2019,5,16,18,13.38,92.69,0.0,1.18,118.43
2019,5,16,19,12.59,96.75,0.0,1.34,119.99
2019,5,16,20,12.02,98.38,0.0,1.64,127.47
2019,5,16,21,11.56,98.94,0.0,1.72,135.37
2019,5,16,22,11.12,99.44,0.0,1.64,138.09
2019,5,16,23,10.66,100.0,0.0,1.59,140.37
2019,5,17,0,10.28,100.0,0.0,1.59,143.58
2019,5,17,1,10.04,100.0,0.0,1.55,147.6
2019,5,17,2,9.97,99.81,0.0,1.59,152.43
2019,5,17,3,9.78,99.25,0.0,1.59,153.69
2019,5,17,4,9.72,98.12,0.0,1.55,156.54
2019,5,17,5,9.68,96.62,0.0,1.56,157.93
2019,5,17,6,10.15,95.12,0.0,1.68,160.38
2019,5,17,7,12.2,84.31,0.32,2.56,153.59
2019,5,17,8,14.15,76.62,0.37,2.89,145.58
2019,5,17,9,15.97,70.94,0.31,2.88,140.17
2019,5,17,10,17.62,66.12,0.29,2.51,131.84
2019,5,17,11,18.19,64.94,0.29,1.89,122.18
2019,5,17,12,18.27,66.44,0.35,1.18,106.88
2019,5,17,13,17.94,69.75,0.5,0.79,84.91
2019,5,17,14,17.4,73.56,0.68,0.62,62.14
2019,5,17,15,16.69,77.75,0.89,0.55,53.62
2019,5,17,16,15.64,83.31,0.98,0.44,68.96
2019,5,17,17,14.43,90.81,0.98,0.38,95.95
2019,5,17,18,13.34,97.5,0.87,0.28,82.09
2019,5,17,19,13.08,98.69,0.75,0.55,91.64
2019,5,17,20,12.88,99.12,0.66,0.7,100.3
2019,5,17,21,12.62,99.5,0.59,0.7,110.26
2019,5,17,22,12.24,99.75,0.56,0.69,119.18
2019,5,17,23,11.86,99.56,0.55,0.57,128.9
2019,5,18,0,11.58,98.94,0.51,0.36,155.66
2019,5,18,1,11.33,98.25,0.41,0.29,229.4
2019,5,18,2,11.15,98.06,0.33,0.51,262.98
2019,5,18,3,11.1,97.25,0.26,0.56,270.0
2019,5,18,4,11.04,96.31,0.22,0.51,263.85
2019,5,18,5,10.89,96.12,0.19,0.43,253.2
2019,5,18,6,11.25,95.56,0.16,0.31,247.93
2019,5,18,7,12.42,92.88,0.14,0.13,197.35
2019,5,18,8,13.44,87.94,0.13,0.55,139.04
2019,5,18,9,14.72,80.38,0.12,0.71,139.47
2019,5,18,10,16.01,74.5,0.12,0.6,123.9
2019,5,18,11,16.84,71.56,0.16,0.57,90.0
2019,5,18,12,17.12,72.12,0.21,0.55,60.15
2019,5,18,13,17.11,73.69,0.28,0.52,38.25
2019,5,18,14,16.86,75.88,0.35,0.57,18.43
2019,5,18,15,16.26,79.38,0.41,0.53,8.49
2019,5,18,16,15.4,84.56,0.45,0.46,343.39
2019,5,18,17,14.34,91.56,0.45,0.46,322.55
2019,5,18,18,13.45,97.88,0.44,0.39,314.19
2019,5,18,19,13.3,98.88,0.43,0.16,305.22
2019,5,18,20,13.21,99.25,0.5,0.05,270.0
2019,5,18,21,13.08,99.5,0.46,0.07,69.44
2019,5,18,22,12.9,99.75,0.51,0.18,72.35
2019,5,18,23,12.68,99.81,0.52,0.25,51.34
2019,5,19,0,12.51,99.69,0.56,0.37,33.69
2019,5,19,1,12.4,99.44,0.63,0.5,9.9
2019,5,19,2,12.41,98.75,0.72,0.69,340.95
2019,5,19,3,12.38,97.75,0.77,1.09,328.12
2019,5,19,4,11.7,98.12,0.72,1.37,337.23
2019,5,19,5,11.09,98.5,0.67,1.36,348.75
2019,5,19,6,11.12,97.94,0.68,1.28,357.9
2019,5,19,7,12.12,93.88,0.13,1.48,354.53
2019,5,19,8,13.61,86.25,0.15,1.55,335.89
2019,5,19,9,15.3,77.06,0.18,1.63,331.72
2019,5,19,10,16.73,70.62,0.17,1.51,342.59
2019,5,19,11,17.61,67.94,0.17,1.42,354.95
2019,5,19,12,18.11,67.31,0.18,1.43,358.75
2019,5,19,13,17.94,68.81,0.19,1.5,358.51
2019,5,19,14,17.32,72.44,0.22,1.52,0.88
2019,5,19,15,16.25,78.19,0.24,1.55,6.08
2019,5,19,16,15.2,84.56,0.21,1.49,9.07
2019,5,19,17,14.22,91.19,0.15,1.27,9.93
2019,5,19,18,13.48,96.69,0.12,0.84,10.16
2019,5,19,19,13.29,98.0,0.13,0.64,42.51
2019,5,19,20,13.17,98.44,0.19,0.67,71.57
2019,5,19,21,13.04,98.88,0.31,0.79,91.13
2019,5,19,22,12.9,99.12,0.54,0.9,98.97
2019,5,19,23,12.73,99.19,0.85,0.92,103.32
2019,5,20,0,12.61,99.19,0.88,0.82,107.22
2019,5,20,1,12.34,99.06,0.76,0.75,113.9
2019,5,20,2,12.04,99.0,0.55,0.65,121.2
2019,5,20,3,11.62,99.31,0.36,0.54,132.05
2019,5,20,4,11.41,99.0,0.23,0.59,137.68
2019,5,20,5,11.13,98.38,0.17,0.74,131.13
2019,5,20,6,11.38,97.69,0.12,0.96,126.03
2019,5,20,7,12.48,93.62,0.1,1.73,127.13
2019,5,20,8,13.65,87.94,0.09,2.16,123.8
2019,5,20,9,14.85,82.19,0.09,2.6,114.87
2019,5,20,10,15.87,76.44,0.11,3.04,106.9
2019,5,20,11,16.31,74.12,0.1,3.23,104.84
2019,5,20,12,16.37,74.0,0.09,3.19,104.04
2019,5,20,13,16.33,74.31,0.09,3.16,104.62
2019,5,20,14,16.15,75.19,0.1,3.22,106.19
2019,5,20,15,15.68,77.69,0.1,3.27,107.96
2019,5,20,16,15.0,81.56,0.1,3.03,110.4
2019,5,20,17,14.08,88.56,0.09,2.31,114.14
2019,5,20,18,13.12,95.56,0.07,1.49,116.43
2019,5,20,19,12.61,97.25,0.06,1.36,115.83
2019,5,20,20,12.22,97.31,0.06,1.29,118.11
2019,5,20,21,11.79,97.31,0.06,1.19,121.81
2019,5,20,22,11.33,97.38,0.08,1.11,125.82
2019,5,20,23,11.05,96.44,0.1,1.08,132.08
2019,5,21,0,10.9,95.5,0.1,1.09,142.56
2019,5,21,1,10.77,94.62,0.1,1.16,146.85
2019,5,21,2,10.61,94.0,0.1,1.27,145.53
2019,5,21,3,10.36,94.06,0.1,1.42,141.93
2019,5,21,4,10.1,94.56,0.09,1.46,137.17
2019,5,21,5,9.86,95.56,0.09,1.48,132.01
2019,5,21,6,10.35,95.56,0.09,1.54,128.61
2019,5,21,7,11.83,92.12,0.0,2.3,122.07
2019,5,21,8,13.07,87.5,0.0,3.03,110.02
2019,5,21,9,14.26,81.38,0.0,3.52,108.52
2019,5,21,10,15.62,74.31,0.0,4.11,112.47
2019,5,21,11,16.77,68.94,0.0,4.67,117.38
2019,5,21,12,17.37,66.44,0.0,4.99,120.18
2019,5,21,13,17.38,66.25,0.0,5.09,121.76
2019,5,21,14,17.04,67.31,0.0,5.03,122.7
2019,5,21,15,16.42,69.31,0.0,4.86,123.26
2019,5,21,16,15.76,72.0,0.0,4.38,122.38
2019,5,21,17,14.38,81.31,0.0,3.42,123.84
2019,5,21,18,12.8,92.06,0.0,2.15,126.41
2019,5,21,19,12.21,94.81,0.0,1.51,129.12
2019,5,21,20,11.65,96.31,0.0,1.32,127.28
2019,5,21,21,11.09,96.75,0.0,1.21,127.91
2019,5,21,22,10.69,96.56,0.0,1.23,133.72
2019,5,21,23,10.51,95.56,0.0,1.31,142.03
2019,5,22,0,10.33,95.06,0.0,1.43,147.96
2019,5,22,1,10.23,93.81,0.0,1.58,149.13
2019,5,22,2,10.14,93.25,0.0,1.8,143.48
2019,5,22,3,9.96,93.69,0.0,1.98,137.24
2019,5,22,4,9.87,94.38,0.0,2.03,134.22
2019,5,22,5,9.8,94.75,0.0,1.96,134.52
2019,5,22,6,10.4,94.38,0.0,1.87,134.83
2019,5,22,7,12.79,83.69,0.0,2.98,130.0
2019,5,22,8,14.69,75.44,0.0,3.91,118.51
2019,5,22,9,16.44,70.12,0.0,4.29,111.14
2019,5,22,10,17.56,67.62,0.0,4.43,109.59
2019,5,22,11,18.22,66.62,0.0,4.37,110.93
2019,5,22,12,18.55,66.62,0.0,4.16,112.76
2019,5,22,13,18.48,67.5,0.0,3.96,114.09
2019,5,22,14,17.69,70.62,0.0,3.77,116.72
2019,5,22,15,16.83,74.81,0.0,3.47,119.97
2019,5,22,16,16.0,79.31,0.0,3.17,122.51
2019,5,22,17,14.85,86.38,0.0,2.6,125.08
2019,5,22,18,13.51,95.06,0.0,1.63,128.19
2019,5,22,19,12.92,97.31,0.0,1.76,134.64
2019,5,22,20,12.51,97.62,0.0,2.06,137.77
2019,5,22,21,12.2,97.5,0.0,2.24,140.37
2019,5,22,22,11.79,97.75,0.0,2.17,142.59
2019,5,22,23,11.32,98.0,0.0,2.15,142.84
2019,5,23,0,10.92,97.88,0.0,2.03,141.1
2019,5,23,1,10.69,97.38,0.0,1.76,137.52
2019,5,23,2,10.58,97.5,0.0,1.61,134.41
2019,5,23,3,10.48,98.38,0.0,1.54,135.21
2019,5,23,4,10.42,98.31,0.0,1.54,136.03
2019,5,23,5,10.43,97.81,0.0,1.69,133.13
2019,5,23,6,11.07,95.44,0.0,1.99,129.12
2019,5,23,7,12.84,87.06,0.11,3.05,125.32
2019,5,23,8,14.27,81.88,0.1,3.59,114.67
2019,5,23,9,15.54,77.5,0.12,3.84,105.71
2019,5,23,10,16.37,74.88,0.14,3.89,101.69
2019,5,23,11,16.76,74.06,0.17,3.95,102.0
2019,5,23,12,16.76,75.0,0.19,3.77,105.77
2019,5,23,13,16.58,77.06,0.21,3.3,109.33
2019,5,23,14,16.18,80.31,0.24,2.73,112.38
2019,5,23,15,15.56,84.62,0.25,2.27,113.74
2019,5,23,16,14.78,90.0,0.27,1.53,115.0
2019,5,23,17,14.0,95.19,0.25,0.8,114.08
2019,5,23,18,13.28,98.38,0.21,0.48,113.2
2019,5,23,19,13.04,99.12,0.2,0.5,117.76
2019,5,23,20,12.8,99.5,0.16,0.41,118.52
2019,5,23,21,12.58,99.44,0.14,0.26,133.78
2019,5,23,22,12.39,98.88,0.13,0.24,160.97
2019,5,23,23,12.17,98.75,0.13,0.36,172.57
2019,5,24,0,11.94,98.62,0.13,0.5,171.87
2019,5,24,1,11.76,98.06,0.11,0.69,171.6
2019,5,24,2,11.52,97.44,0.1,0.94,166.08
2019,5,24,3,11.23,97.31,0.09,1.12,158.79
2019,5,24,4,11.04,96.19,0.1,1.21,146.82
2019,5,24,5,10.83,95.06,0.1,1.36,135.7
2019,5,24,6,11.12,94.69,0.13,1.76,132.67
2019,5,24,7,12.56,90.31,0.0,2.69,127.8
2019,5,24,8,14.12,84.56,0.01,3.48,120.59
2019,5,24,9,15.85,75.44,0.01,4.17,115.8
2019,5,24,10,17.18,69.38,0.01,4.51,113.15
2019,5,24,11,17.92,66.31,0.01,4.7,112.17
2019,5,24,12,18.28,65.06,0.0,4.73,111.94
2019,5,24,13,18.21,65.0,0.0,4.49,113.04
2019,5,24,14,18.04,65.56,0.0,4.08,114.31
2019,5,24,15,17.66,66.94,0.0,3.56,115.33
2019,5,24,16,16.82,70.69,0.0,2.87,113.92
2019,5,24,17,15.38,79.69,0.0,1.96,111.55
2019,5,24,18,13.29,93.94,0.0,0.95,104.72
